WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After,Unnamed: 60
122,AUT,PCPI,Austria,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2005 Primary domestic currency: Euro Data last updated: 03/2024,53.215,56.837,59.929,61.928,65.436,67.523,68.696,69.663,70.964,72.561,74.575,76.899,79.534,82.106,84.332,85.691,87.209,88.226,88.947,89.406,91.155,93.253,94.821,96.055,97.941,100.000,101.686,103.923,107.280,107.715,109.537,113.417,116.330,118.794,120.535,121.511,122.692,125.426,128.088,130.003,131.811,135.444,147.112,158.454,164.665,169.247,173.154,176.688,180.326,184.039,2023.0,
912,AZE,PCPI,Azerbaijan,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 2005. PCPI = 100 in June 2005, Core CPI = 100 in 2006 Primary domestic currency: Azerbaijan manat Data last updated: 02/2024",,,,,,,,,,,,,0.063,0.773,13.635,69.780,83.592,86.664,85.994,78.663,80.083,81.499,83.746,85.523,91.260,100.000,108.300,126.400,152.700,154.930,163.800,176.700,178.600,182.900,185.400,192.890,216.900,244.960,250.500,257.000,264.100,281.700,320.740,347.119,359.428,377.399,394.382,410.157,426.564,443.626,2022.0,
313,BHS,PCPI,The Bahamas,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes. Retail Price Index Base year: 2014 Primary domestic currency: Bahamian dollar Data last updated: 03/2024,34.371,38.167,40.496,42.116,43.786,45.811,48.291,51.186,53.259,56.138,58.736,63.026,66.541,68.370,69.305,70.707,71.599,72.001,72.870,73.686,74.962,76.733,77.883,80.731,81.668,83.153,84.781,86.822,90.671,92.181,93.676,96.546,98.392,98.831,100.000,101.878,101.542,103.065,105.402,108.028,108.070,111.209,117.443,121.036,123.508,126.279,128.815,131.253,133.746,136.411,2023.0,
419,BHR,PCPI,Bahrain,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2019. April 2019= 100 Primary domestic currency: Bahrain dinar Data last updated: 03/2024,51.734,57.632,62.646,64.650,64.650,63.099,61.521,60.475,60.596,61.324,62.120,62.678,62.489,64.113,66.676,68.770,68.642,71.801,71.500,70.600,70.084,69.261,68.918,70.075,71.651,73.526,75.027,77.466,80.204,82.438,84.055,83.773,86.082,88.924,91.277,92.964,95.557,96.881,98.907,99.903,97.580,96.983,100.508,100.583,101.992,103.827,105.959,108.134,110.353,112.618,2023.0,
513,BGD,PCPI,Bangladesh,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: Bangladesh Bureau of Statistics Latest actual data: FY2022/23 Harmonized prices: No Base year: FY2005/06 Primary domestic currency: Bangladesh taka Data last updated: 03/2024,14.677,16.869,19.172,21.301,23.429,25.875,28.544,31.546,34.770,37.963,41.632,45.524,48.193,49.781,52.065,56.676,60.552,62.163,66.301,72.204,74.820,76.176,78.009,81.036,87.632,93.316,100.000,107.205,117.858,125.701,134.897,146.751,159.795,170.624,183.164,194.896,206.427,217.657,230.243,242.848,256.563,270.822,287.477,313.396,342.542,363.437,384.262,405.396,427.693,451.216,2023.0,
316,BRB,PCPI,Barbados,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office. Headline CPI available since 1994. Components available since 2013. Latest actual data: 2022. Monthly data available with 1-2 months lag. Harmonized prices: No Base year: 2018. CPI base, July 2018 = 100 Primary domestic currency: Barbados dollar Data last updated: 03/2024",22.305,25.559,28.188,29.675,31.054,32.563,32.627,33.791,35.386,37.627,38.769,41.212,43.683,44.200,44.509,45.772,46.865,50.478,49.838,50.615,51.056,53.201,53.371,54.016,54.471,57.016,61.265,64.236,68.387,72.249,75.991,81.753,87.550,89.457,90.911,91.142,90.884,94.098,98.961,100.517,101.033,102.533,107.658,113.083,117.446,120.771,123.722,126.724,129.799,132.949,2022.0,
913,BLR,PCPI,Belarus,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2023 Harmonized prices: No Base year: 2005 Primary domestic currency: Belarusian ruble Data last updated: 02/2024",,,,,,,,,,,,,--,0.003,0.070,0.568,0.868,1.422,2.460,9.687,26.019,41.925,59.772,76.746,90.632,100.000,106.992,116.010,133.212,150.464,162.114,248.403,395.503,467.890,552.612,627.340,701.547,743.862,780.069,823.751,869.354,951.531,"1,096.534","1,151.552","1,224.181","1,304.188","1,381.787","1,458.428","1,533.862","1,611.055",2023.0,
124,BEL,PCPI,Belgium,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: Central Bank Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 03/2024,39.609,42.630,46.348,49.900,53.068,55.651,56.372,57.248,57.913,59.712,61.774,63.730,65.170,66.791,68.390,69.255,70.474,71.531,72.175,72.993,74.951,76.778,77.970,79.153,80.623,82.669,84.596,86.135,90.003,89.999,92.095,95.175,97.669,98.892,99.381,100.000,101.774,104.036,106.438,107.768,108.221,111.695,123.228,126.053,130.620,133.223,135.731,138.324,141.151,144.007,2023.0,
339,BLZ,PCPI,Belize,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2020. The base period is October 2020. Primary domestic currency: Belize dollar Data last updated: 03/2024,41.553,46.217,49.378,51.845,53.599,55.825,56.269,57.406,60.460,60.460,61.698,63.088,64.600,65.552,67.236,69.179,73.624,74.379,73.748,72.858,73.305,74.148,75.775,77.762,80.147,83.073,86.596,88.603,94.269,93.228,94.084,95.642,96.834,97.328,98.497,97.649,98.294,99.425,99.693,99.878,100.000,103.239,109.716,114.533,118.041,120.702,122.219,123.756,125.313,126.888,2023.0,
638,BEN,PCPI,Benin,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2014 Primary domestic currency: CFA franc Data last updated: 02/2024,28.647,28.875,30.047,28.224,31.121,31.480,31.610,31.187,32.261,32.196,32.554,33.237,35.205,35.362,48.989,56.071,58.829,61.066,64.581,64.805,67.420,69.952,71.872,73.175,74.152,77.606,81.613,82.635,88.255,88.906,90.986,93.577,100.127,101.095,100.017,100.219,99.423,101.182,102.041,101.089,104.171,105.942,107.425,110.433,113.746,116.021,118.341,120.708,123.122,125.585,2023.0,
514,BTN,PCPI,Bhutan,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: FY2021/22. Monthly data available Harmonized prices: No. Not specified Base year: FY2003/04 Primary domestic currency: Bhutanese ngultrum Data last updated: 03/2024,16.947,17.789,19.553,21.927,24.787,26.770,28.156,30.139,32.606,35.496,38.836,42.853,46.343,50.789,55.613,59.553,64.781,70.320,75.658,82.511,88.438,91.732,94.428,96.762,100.000,104.823,109.990,115.760,123.053,131.823,138.185,150.003,165.175,178.570,195.711,208.726,215.547,224.869,233.102,239.660,246.965,267.244,283.104,295.998,310.497,324.736,338.005,351.535,365.455,379.927,2022.0,
